epoch,batch,train_loss,train_accuracy,train_f1-score
0,0.0,3.5381253,0.03125,0.008658008658008658
1,,3.427792,0.09375,0.03439153439153439
1,,3.545794,0.0625,0.03623188405797101
1,,3.7242787,0.0,0.0
1,,3.5230436,0.125,0.0819088319088319
1,,3.751899,0.0,0.0
1,,3.5420382,0.03125,0.01515151515151515
1,,3.677812,0.03125,0.021739130434782608
1,,3.496797,0.03125,0.017543859649122806
1,,3.2622404,0.03125,0.007017543859649123
1,,3.3084538,0.03125,0.00617283950617284
1,,3.3426306,0.03125,0.005291005291005291
1,,3.157866,0.125,0.04366028708133971
1,,3.5111358,0.0,0.0
1,,3.294941,0.1875,0.07777777777777778
1,,3.5592203,0.03125,0.031746031746031744
1,,3.4320176,0.0625,0.03968253968253969
1,,3.3129246,0.0,0.0
1,,3.2690952,0.0625,0.02222222222222222
1,,3.3296454,0.0,0.0
1,,3.207866,0.0625,0.01833460656990069
1,,3.1733232,0.09375,0.0404040404040404
1,,3.159572,0.03125,0.003898635477582846
1,,3.286902,0.03125,0.004166666666666667
1,,3.1691298,0.125,0.09649122807017543
1,,3.1651373,0.09375,0.04264705882352941
1,,3.3471668,0.0625,0.03666666666666667
1,,3.490079,0.03125,0.0071428571428571435
1,,3.3323927,0.09375,0.029072681704260653
1,,3.3260202,0.03125,0.007017543859649124
1,,3.2005806,0.0625,0.020676691729323307
1,,3.2148333,0.09375,0.03439153439153439
1,,3.1787038,0.09375,0.024444444444444446
1,,3.1656818,0.15625,0.04751131221719457
1,,3.2190359,0.09375,0.04365079365079365
1,,3.313594,0.0,0.0
1,,3.2222276,0.0625,0.009259259259259259
1,,3.2407176,0.0625,0.031100478468899524
1,,3.2200885,0.03125,0.004761904761904762
1,,3.2056808,0.03125,0.0058823529411764705
1,,3.2172036,0.09375,0.041666666666666664
1,,3.241155,0.0,0.0
1,,3.1431482,0.0625,0.02597402597402597
1,,3.4427257,0.09375,0.06190476190476189
1,,3.1771936,0.15625,0.0883061383061383
1,,3.2925017,0.0625,0.056140350877192984
1,,3.19874,0.125,0.09140498304584992
1,,3.3575575,0.03125,0.02631578947368421
1,,3.1042824,0.0,0.0
1,,3.3286917,0.03125,0.025
1,,3.301416,0.0625,0.030622009569377988
1,,3.2197104,0.09375,0.045739348370927316
1,,3.2147691,0.03125,0.025
1,,3.1968887,0.15625,0.08571428571428572
1,,3.2702544,0.03125,0.015037593984962409
1,,3.2420278,0.0625,0.023376623376623377
1,,3.1267624,0.125,0.05511904761904762
1,,3.1239636,0.0625,0.017316017316017316
1,,3.0071146,0.15625,0.05155844155844156
1,,3.1933918,0.03125,0.014705882352941176
1,,3.1190295,0.15625,0.07909090909090909
1,,3.1048305,0.0625,0.013333333333333336
1,,3.131855,0.0625,0.034210526315789476
1,,3.1891873,0.09375,0.03111111111111111
1,,3.0216475,0.09375,0.043209876543209874
1,,2.938336,0.0625,0.02361111111111111
1,,3.0749915,0.09375,0.06759906759906759
1,,3.310106,0.0625,0.03111111111111111
1,,3.209,0.0625,0.016290726817042606
1,,3.0064833,0.0625,0.01465201465201465
1,,3.1614957,0.15625,0.12575757575757576
1,,3.2508986,0.125,0.0943609022556391
1,,3.0728302,0.0625,0.02
1,,2.948818,0.15625,0.0935672514619883
1,,3.1238544,0.15625,0.0676149247577819
1,,3.3871093,0.0625,0.030991735537190087
1,,2.882321,0.09375,0.026785714285714284
1,,3.0540304,0.09375,0.08531746031746032
1,,3.3641162,0.03125,0.022727272727272728
1,,2.8338962,0.28125,0.16790123456790124
1,,2.9847445,0.21875,0.10075757575757575
1,,3.060459,0.09375,0.04135338345864662
1,,3.0855806,0.09375,0.055952380952380955
1,,3.2246926,0.125,0.04924812030075189
1,,3.1519125,0.09375,0.026556776556776556
1,,3.0114589,0.125,0.03522403522403522
1,,2.9678488,0.15625,0.05076923076923077
1,,3.0947967,0.125,0.049444444444444444
1,,3.0044334,0.1875,0.06535131535131534
1,,3.4719048,0.0,0.0
1,,3.0687666,0.125,0.04320987654320988
1,,3.0890663,0.0625,0.028571428571428574
1,,2.95746,0.125,0.09171075837742504
1,,3.0358844,0.03125,0.01754385964912281
1,,3.0212905,0.125,0.06180836707152497
1,,3.155346,0.09375,0.023088023088023088
1,,3.2782278,0.03125,0.0053475935828877
1,,2.8893583,0.15625,0.042397660818713455
1,,3.1307905,0.125,0.04411764705882353
1,,3.3356197,0.0,0.0
1,,3.084537,0.125,0.04673721340388007
1,,3.2236395,0.0625,0.05263157894736842
1,,3.0176249,0.1875,0.0715151515151515
1,,3.1458707,0.09375,0.03447802197802198
1,,3.0735116,0.03125,0.0071428571428571435
1,,3.1798234,0.09375,0.0286241920590951
1,,2.971217,0.09375,0.03148148148148148
1,,3.028542,0.0,0.0
1,,3.0548441,0.125,0.03779289493575208
1,,3.0326319,0.09375,0.023268398268398265
1,,3.522648,0.09375,0.06601307189542484
1,,3.1910148,0.03125,0.008771929824561405
1,,3.2663102,0.09375,0.055477855477855484
1,,3.150783,0.0625,0.03666666666666667
1,,2.939999,0.125,0.0334967320261438
1,,3.1106362,0.125,0.05995670995670996
1,,3.0954607,0.125,0.06587301587301587
1,,3.0671527,0.09375,0.05442176870748299
1,,3.115388,0.03125,0.023809523809523808
1,,2.9516966,0.125,0.07531135531135531
1,,2.954255,0.125,0.06904761904761905
1,,3.362445,0.0625,0.03623188405797101
1,,2.8016508,0.15625,0.07833333333333334
1,,3.1175358,0.0625,0.0391304347826087
1,,3.0346663,0.03125,0.031746031746031744
1,,3.2671807,0.03125,0.047619047619047616
1,,3.17428,0.125,0.09523809523809523
1,,3.1112509,0.0625,0.031746031746031744
1,,3.154488,0.0,0.0
1,,2.9888046,0.15625,0.10526315789473684
1,,2.7737012,0.09375,0.05606060606060606
1,,2.852744,0.125,0.09126984126984126
1,,3.025581,0.09375,0.09393939393939393
1,,3.0189943,0.09375,0.034090909090909095
1,,3.0061817,0.0625,0.04090909090909091
1,,2.789038,0.125,0.08503401360544217
1,,2.7764714,0.15625,0.08658008658008659
1,,3.0129488,0.15625,0.08166666666666667
1,,3.071541,0.125,0.06525974025974025
1,,2.8409638,0.125,0.06504329004329004
1,,2.8487575,0.15625,0.10916666666666666
1,,3.00101,0.09375,0.04242424242424242
1,,3.2056277,0.09375,0.03671328671328671
1,,3.061095,0.15625,0.0642857142857143
1,,2.8790226,0.21875,0.12428774928774929
1,,2.923911,0.25,0.13211951447245568
1,,3.2054865,0.125,0.05123456790123457
1,,3.1000066,0.1875,0.07946127946127948
1,,3.0440862,0.03125,0.01851851851851852
1,,3.0799336,0.1875,0.0869747899159664
1,,3.20478,0.03125,0.007905138339920948
1,,2.9614108,0.15625,0.1405895691609977
1,,3.2366724,0.0625,0.050793650793650794
1,,2.9136531,0.21875,0.13151848151848153
1,,2.971864,0.09375,0.04259259259259259
1,,3.0944617,0.15625,0.07857142857142857
1,,3.2001941,0.0625,0.03409090909090909
1,,2.8996499,0.125,0.12941176470588237
1,,3.053699,0.125,0.05303643724696356
1,,2.9033523,0.15625,0.08968253968253968
1,,2.9138248,0.09375,0.04126984126984127
1,,3.092738,0.09375,0.07142857142857142
1,,2.9883559,0.125,0.05701754385964912
1,,2.9868033,0.09375,0.06742424242424241
1,,2.907015,0.125,0.07916666666666666
1,,2.8577693,0.125,0.06857142857142857
1,,3.322525,0.0,0.0
1,,3.036224,0.125,0.07556935817805384
1,,2.980755,0.0625,0.0456140350877193
1,,3.0506535,0.09375,0.038181818181818185
1,,2.7224638,0.21875,0.10869236583522297
1,,3.219721,0.03125,0.008097165991902834
1,,3.033181,0.15625,0.1001031991744066
1,,3.224622,0.03125,0.021739130434782608
1,,3.0187593,0.125,0.10925925925925925
1,,2.784842,0.09375,0.03571428571428571
1,,3.2564056,0.09375,0.06811594202898551
1,,2.9313474,0.125,0.10846560846560847
1,,3.1498437,0.0625,0.060606060606060615
1,,2.9460602,0.09375,0.05028305028305029
1,,3.0914695,0.1875,0.08412698412698412
1,,2.826956,0.15625,0.06351981351981352
1,,2.8900626,0.125,0.06406926406926407
1,,2.8050888,0.15625,0.07619047619047618
1,,2.9133701,0.125,0.09561602418745276
1,,2.8482542,0.09375,0.0463768115942029
1,,2.9651673,0.0625,0.0404040404040404
1,,2.8715684,0.25,0.1428238428238428
1,,3.0628657,0.0625,0.015037593984962409
1,,2.4992042,0.3125,0.1511266511266511
1,,2.866531,0.25,0.19147869674185464
1,,3.0806706,0.09375,0.044444444444444446
1,,2.810611,0.15625,0.08541666666666665
1,,2.9898183,0.09375,0.057499999999999996
1,,3.1206026,0.125,0.10227272727272728
1,,3.317733,0.0625,0.06428571428571428
1,,3.0134373,0.1875,0.10393407761828814
1,,3.3099482,0.0625,0.025396825396825397
1,,2.9725597,0.0625,0.034210526315789476
1,,3.049918,0.0625,0.03116883116883117
1,,2.9698973,0.0625,0.048484848484848485
1,,2.9167752,0.0625,0.024350649350649355
1,,3.2512362,0.03125,0.01111111111111111
1,,3.0570488,0.125,0.05909090909090909
1,,3.158449,0.03125,0.011111111111111112
1,,2.816689,0.09375,0.047619047619047616
1,,3.027081,0.09375,0.05555555555555556
1,,3.2383194,0.0625,0.045
1,,2.8867114,0.125,0.07671957671957672
1,,2.7833703,0.15625,0.10455486542443065
