epoch,val_loss,val_accuracy,val_f1-score
0.0,3.3853554725646973,0.03587051618547681,0.0225072848365936
1.0,3.8197669982910156,0.11614173228346457,0.07240382588892605
2.0,1.6444951295852661,0.4678477690288714,0.42055439537691774
3.0,1.6644775867462158,0.48075240594925633,0.44746773063586553
4.0,1.289459466934204,0.5772090988626422,0.553351887339884
5.0,0.9523921608924866,0.6719160104986877,0.6481226822522252
6.0,0.6918076872825623,0.747594050743657,0.7374092254092267
7.0,0.8069999814033508,0.7294400699912511,0.7293024233127396
8.0,0.6215497255325317,0.7749343832020997,0.7636035847274943
9.0,0.5692427158355713,0.7874015748031497,0.7862601327333558
10.0,0.6728289127349854,0.757655293088364,0.7624544569110894
11.0,0.4766595959663391,0.8243657042869641,0.8159010187256225
12.0,0.39196494221687317,0.8427384076990376,0.8419478589966853
13.0,0.3805396854877472,0.8468941382327209,0.8449104117062819
14.0,0.36525198817253113,0.8547681539807525,0.8497427027474977
15.0,0.3652208745479584,0.8495188101487314,0.8507914046153837
16.0,0.33709660172462463,0.8573928258967629,0.8615669952123425
17.0,0.36620038747787476,0.8486439195100612,0.8410256086172313
18.0,0.33481740951538086,0.8595800524934383,0.8496667647119648
19.0,0.31675592064857483,0.863079615048119,0.8647187529830955
20.0,0.33958348631858826,0.8580489938757655,0.8653187546425666
21.0,0.24839884042739868,0.8832020997375328,0.8876908242297731
22.0,0.23939356207847595,0.8825459317585301,0.8848220575978639
23.0,0.24158424139022827,0.8884514435695539,0.8937180711730724
24.0,0.26356974244117737,0.8781714785651793,0.8784923486407162
25.0,0.2390749454498291,0.8847331583552056,0.8830489194609347
26.0,0.23672735691070557,0.8860454943132109,0.8943682234029859
27.0,0.229745551943779,0.8893263342082239,0.8929725039931924
28.0,0.22842657566070557,0.8934820647419073,0.8954635351783412
29.0,0.20919141173362732,0.8867016622922135,0.8939833323753393
30.0,0.22893092036247253,0.8902012248468941,0.8861757756245325
